Benchmark,norec=1th=MCS_LOCKS,norec=2th=MCS_LOCKS,norec=4th=MCS_LOCKS,norec=6th=MCS_LOCKS,norec=8th=MCS_LOCKS,norec=16th=MCS_LOCKS,norec=32th=MCS_LOCKS,norec=48th=MCS_LOCKS,swisstm=1th=MCS_LOCKS,swisstm=2th=MCS_LOCKS,swisstm=4th=MCS_LOCKS,swisstm=6th=MCS_LOCKS,swisstm=8th=MCS_LOCKS,swisstm=16th=MCS_LOCKS,swisstm=32th=MCS_LOCKS,swisstm=48th=MCS_LOCKS,tinystm=1th=MCS_LOCKS,tinystm=2th=MCS_LOCKS,tinystm=4th=MCS_LOCKS,tinystm=6th=MCS_LOCKS,tinystm=8th=MCS_LOCKS,tinystm=16th=MCS_LOCKS,tinystm=32th=MCS_LOCKS,tinystm=48th=MCS_LOCKS,tl2=1th=MCS_LOCKS,tl2=2th=MCS_LOCKS,tl2=4th=MCS_LOCKS,tl2=6th=MCS_LOCKS,tl2=8th=MCS_LOCKS,tl2=16th=MCS_LOCKS,tl2=32th=MCS_LOCKS,tl2=48th=MCS_LOCKS
hashmap_d5000000_i1000000_r1000_u10,1.168183358,2.212311069,4.166510423,5.813750683,6.944155105,5.952168375,4.46414621,3.521002782,1.677796047,3.124882817,6.097337902,8.333055565,9.999700009,11.36324898,13.15737537,10.86921079,0.556773343,1.07754905,2.136674523,3.164446807,4.098226288,6.249765634,6.756482845,7.35272492,1.054815602,1.968434189,3.906112676,5.68162449,7.352670858,8.928252562,9.999600016,6.578730963
hashmap_d5000000_i1000000_r1000_u5,1.179204956,2.314729084,4.545289262,6.756528496,8.928252562,13.15737537,9.258916336,7.812194836,1.736050832,3.378252835,6.578730963,9.615107257,12.49953127,17.85650512,19.23002961,14.70544984,0.5470268,1.101283987,2.192905512,3.289354662,4.3101962,8.06419096,10.41634116,10.41634116,1.059285004,2.118567763,4.166527782,6.249765634,7.812255867,13.15737537,14.70544984,12.49968751
hashmap_d5000000_i1000000_r1000_u50,1.041629776,1.190435092,1.31574273,1.003979776,0.764499108,0.340124139,0.139426222,0.116383246,1.282006905,1.358647656,2.118572252,2.380873019,2.840812245,2.906875342,2.525163252,2.083259551,0.501990392,0.720435662,1.268992052,1.748187567,1.984056125,2.252171093,1.937916894,1.146749538,0.806423648,0.936296274,1.592300907,2.016055869,2.232063141,2.604071727,1.329741259,0.988108119
hashmap_d5000000_i100000_r1000000_u1,0.062811885,0.11915696,0.233200798,0.34576939,0.459542985,0.905765925,1.785650512,2.38086735,0.052376127,0.102707989,0.200313491,0.291365104,0.38519451,0.759851859,1.505971932,2.083259551,0.048167872,0.083974225,0.179979284,0.21096312,0.301921793,0.696354584,1.366073563,2.032450098,0.038336344,0.067638336,0.129730829,0.185178738,0.222412212,0.375362272,0.649327881,1.381167777
hashmap_d5000000_i100000_r1000000_u10,0.05691968,0.116220932,0.232550027,0.344340522,0.457859525,0.896026035,1.572272657,2.083259551,0.052376124,0.103302167,0.195153176,0.285704245,0.383422204,0.7621684,1.42852041,1.999932002,0.048121507,0.09314129,0.178692812,0.257192583,0.334660261,0.692496318,1.373579204,1.923010357,0.043072232,0.065891202,0.125246109,0.176174232,0.210963031,0.384601924,0.712225855,0.822340018
hashmap_d5000000_i100000_r1000000_u5,0.060501272,0.120477718,0.225827687,0.34914982,0.457859315,0.899249037,1.748190623,2.499912503,0.055027787,0.105259468,0.199196203,0.287346248,0.385788925,0.757549358,1.453437671,2.066043135,0.04240014,0.082342303,0.183278008,0.267943435,0.305612731,0.702222534,1.196129326,1.984060061,0.043116809,0.070064815,0.130475604,0.171109701,0.221820087,0.404516508,0.692496797,1.063792441
hashmap_d5000000_i100000_r1000000_u50,0.021502773,0.056906724,0.14091952,0.217572883,0.270846368,0.342923533,0.181153054,0.12839817,0.019051309,0.045411675,0.123513484,0.193342072,0.262320334,0.560518637,1.11603157,1.184793413,0.019512276,0.050739047,0.119670304,0.191711102,0.272025348,0.506055204,0.972728581,0.943363298,0.014715755,0.033975434,0.075298574,0.122845837,0.153651678,0.342923533,0.624978126,0.477994793
hashmap_d5000000_i100000_r100000_u1,0.131435993,0.238769136,0.443247086,0.644307479,0.850310491,1.633930862,3.086314971,4.385811024,0.111206093,0.19561138,0.361781935,0.511229671,0.67383129,1.322705833,2.525169628,3.378252835,0.093946386,0.166660889,0.312489161,0.449624519,0.596638064,1.028771657,1.999932002,3.333211116,0.100843617,0.158825504,0.29034993,0.409821789,0.544643324,1.041629776,1.999932002,1.689129271
hashmap_d5000000_i100000_r100000_u10,0.292729935,0.415958843,0.612723698,0.801254444,0.999965001,1.700622428,2.659482518,3.205015208,0.257457581,0.344340641,0.513329104,0.657871798,0.830536502,1.461937008,2.577233237,3.246637295,0.189387375,0.28343683,0.383422351,0.558016408,0.708190721,1.275466279,2.293499077,3.124892582,0.203410337,0.279319934,0.35111139,0.51544585,0.55553642,1.141513418,1.496954446,1.851786696
hashmap_d5000000_i100000_r100000_u5,0.230832212,0.336009763,0.533030288,0.714260715,0.929336073,1.677796047,3.011948399,3.571313779,0.199355126,0.277152261,0.44090175,0.582730547,0.750724261,1.388840665,2.550929304,3.20502548,0.155952156,0.225623929,0.368718783,0.508112266,0.576016958,1.082213603,2.083259551,3.011939327,0.176050232,0.194545792,0.348662999,0.405829991,0.497990856,1.106156758,1.479237424,1.633930862
